calum hood 💞 💗 💗 💕 💘 💞 💓 💓 💞 💗 💗 💞 💖 💕 💕 💞 💖	positive
lol 🤣 you could just correct me you know 🤷 pick me for what ? 🙄 🙄	positive
i get to spend the whole weekend with my niece  i'm surprising her and taking her to the zoo	positive
what is this draft 😂 😂 �	positive
where is she i miss her 🏵 💞	positive
friday nights are amazing , especially when your foxes start 1-0 ! ! 🦊 🔴 😤 good job last night boys ! 😈	negative
truth is .. it's more fun to fool around in serious times , but the consequences are too unbearable 😞	negative
stop 👏 🏻 sleeping 👏 🏻 on 👏 🏻 these 👏 🏻 characters 👏 🏻 😫 😤 they are 🔥 so 🔥 😈 amazing but they get paid dust 🤐 🤮 😥 rt to appreciate them 😃 💕 🙏 🏻	negative
there ’ s me buying the cat fresh cod and chicken fillets . there ’ s her : 😾	negative
it doesn ’ t get better then your girl but yet you over here in my dms trying to see my tits 😂 �	positive
#6yearswithexo baby love me right uh uh 💞	positive
i threw my fist threw a damn wall 	negative
really mhn niga stop acting like a scyco n grow up atleast act like a gentle man for once how can you forward yo babes nudes .. gese ! wea is the world taking us ! ! 	negative
aaah nomthandazo u been there in muvhango all these years .. why did u leave 😤 😧 😩	negative
7:30 pm - 11:40 pm , what a leg end . great evening of lale & taughter . 👍 🏼 😎 😁 🤣 ⚽ ️	positive
you ’ re really strong and i admire you so much for it , @ddlovato . happy birthday warrior queen .  🏼 	positive
good luck cuties , love you and miss you all 😩 @mhalmutaiwee @shamxma @jovvaher 💗 💖 💓	positive
ily seokjin i hope you're sleeping and eating well .. 💝 💞 💖 �	positive
this person makes me smile so much ..  ️ 	positive
wonder who gon tell me happy birthday first 😤	negative
all of bts me o 웃 / | \ / \ yet i still call them my babies 💖 💓 💓 💞 💓 💓 💖 💕 💕 💖 💓 💞 💞 💓 💓 💕 💕 💖 💓 💓 💞 💞 💓 💓 💕 💕 💖 💓 💓 💞 💓 💓 💖 💕 💕 💖 💓 💓 💞 💞 💕 💕 💓 💓 💞	positive
update : bawling again at opies funeral . didn't know #soa could make me so sad 😭 😭 💔 💔	negative
it really sucks when you have no one to confide in .. 	negative
when she calls me ' big sis ' my heart goes 💕 💖 💝 💞 💗 💘 💓 💝 💘 💕 💓 💞 💝 💗 💓 💗 💓 💞 💗 💖 💕 💗 💝 💓 💞 💗 💓 💞 💖 💘 💞 💓 💖 💞 💗 💖 💞 💕 💝 💕 💖 💝 💞 💖 💓 💗 💝 💖 💕 💞 💘 💖 💞 💘 💖 💗 💓 💖 💞 💕 💝 💖 💕 💝 💕 💗 💝 💓 💘 💝 💗 💖 💝 💕 💗 💞 💓 💘 💓 💞 💕 💞 💘 💕 💞 💓 💖 💗 💓 💕 💞 💕 💞 💘 💕 💞 💓 💕 💓 💕 💞 💘 💕 💘 💕 💘 💕 💞 💖 💗 💘 💕 💝 💖 💓 💝 💕 💞 💝	positive
why does this happen to us 🤣 @ellieturnerp	positive
hang bitch & im not playing 	negative
hayini guys  may his soul rip	negative
anywya . ineend to stop complainging im sorr y thsi is a bangtan lvoe zone only 😤	negative
do you remember this vijay tv series ? end card la kuthirai val pinadi thee irukume 🐎 🔥 😨 😂 🙂	positive
bitch this isn ’ t a toxic trait 😤 everyone has toxic traits and if “ i love too hard ” is your idea of a toxic trait then you have a bigger problem	negative
i might take all of my exes and put em all in a group   #astroworld $ ashmitchell	negative
why do the legends leave so early ? ? 💔 💔	negative
when i was trying to find out which albums i was getting 😤	negative
guys . i ’ m still going since brunch 😂	positive
all these years after independence , when congress was in power in almost all of ne , they didn't find their attire outlandish .. but as soon as they are out of power now they think it's outlandish .. for power they will stoop to any level 😡	negative
happy birthday to the wonderful @itsjessandrea 🎉 💞	positive
hahahaha nah never that , i was talking bout exposing tho  idgaf cuz	positive
oh of course that bastard phelan isn ’ t dead ! ! 😡	negative
oh no , that ’ s so sad 	negative
"i know damn well you ain't take this at home depot 😩 😭 🤣 rt @flamecube47 "" get your money up fam i had to grind for this view 💸 💰 😴 """	positive
it sucks watching you slowly walk away when there ’ s nothing i can rly do to stop it . shit rly breaks my heart 	negative
and oh how can i forget @b_dot_the_god ' s 3rd vs emerson 😤 😤	negative
